hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,0,4,2015,December,49,5,0,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,62.922561163694276,1,1,Check-Out,2025-08-04
City Hotel,0,263,2016,October,41,3,1,3,3,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,7,No Deposit,9.0,,0,Transient-Party,134.1820686642537,0,0,Check-Out,2024-10-03
City Hotel,1,16,2017,January,2,12,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,89.84550528581315,0,1,Canceled,2025-08-02
City Hotel,0,49,2016,March,14,27,2,5,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,11.0,,0,Transient,91.10764684383133,0,0,Check-Out,2025-06-12
City Hotel,0,64,2016,April,15,8,2,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,121.0232009080385,0,1,Check-Out,2024-11-04
City Hotel,0,164,2016,July,31,30,2,3,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,94.57252988071075,0,1,Check-Out,2025-03-12
City Hotel,1,99,2017,April,14,7,2,5,2,0.0,0,BB,DNK,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,115.37293795357463,0,1,Canceled,2025-04-17
City Hotel,0,13,2017,July,29,18,0,1,1,0.0,0,BB,NLD,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,136.82713434398607,0,1,Check-Out,2024-10-06
City Hotel,1,75,2017,March,13,30,0,3,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,84.34444989022322,0,0,Canceled,2025-06-04
Resort Hotel,0,78,2016,February,6,6,2,1,2,0.0,0,Undefined,PRT,Groups,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient-Party,76.13522322834127,0,0,Check-Out,2024-11-08
Resort Hotel,1,70,2016,March,13,21,1,4,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,171.0,,0,Transient,42.92582942043809,0,0,Canceled,2025-03-11
City Hotel,0,110,2016,June,24,6,1,1,1,0.0,0,BB,ESP,Offline TA/TO,Corporate,0,0,0,A,A,1,No Deposit,191.0,,0,Transient-Party,100.4350005636714,0,0,Check-Out,2025-02-09
Resort Hotel,0,7,2016,March,13,21,1,0,2,0.0,0,BB,COL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,177.0,,0,Transient,25.653405244820902,0,0,Check-Out,2025-02-18
Resort Hotel,1,102,2017,July,27,3,1,3,2,2.0,0,HB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,316.59600599147905,0,0,Canceled,2025-05-27
Resort Hotel,0,5,2016,February,9,27,1,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,F,0,No Deposit,240.0,,0,Transient,51.954881061719995,0,1,Check-Out,2024-10-21
City Hotel,0,0,2017,February,7,14,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,D,1,No Deposit,,,0,Transient,107.93595497640398,0,2,Check-Out,2025-07-24
Resort Hotel,0,71,2016,February,6,6,2,1,2,0.0,0,Undefined,PRT,Groups,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient-Party,85.38009576445046,0,0,Check-Out,2025-03-10
Resort Hotel,0,17,2016,October,44,24,1,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240.0,,0,Transient,65.70781291085731,0,2,Check-Out,2025-02-13
City Hotel,0,3,2017,February,5,3,0,1,2,1.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,126.685451484215,0,1,Check-Out,2024-12-13
City Hotel,1,154,2015,October,42,16,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,0,Transient,52.362021492046,0,0,Canceled,2025-01-03
Resort Hotel,0,28,2017,June,25,21,0,4,2,0.0,0,HB,ESP,Direct,Direct,0,0,0,F,F,1,No Deposit,250.0,,0,Transient,219.00209368925283,1,0,Check-Out,2025-07-26
City Hotel,0,0,2016,August,32,1,1,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.76281030351248,0,1,Check-Out,2024-11-02
City Hotel,0,74,2016,June,27,26,2,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,93.83673359828182,0,0,Check-Out,2025-06-14
City Hotel,1,288,2016,October,43,21,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,31.0,,0,Transient,116.00264531132447,0,0,Canceled,2024-12-20
City Hotel,0,17,2017,February,6,10,0,2,1,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,53.72056865125627,0,0,Check-Out,2025-01-18
City Hotel,0,235,2017,May,21,25,1,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,118.7217968596215,0,2,Check-Out,2024-09-16
City Hotel,1,14,2016,December,53,28,2,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,0,Transient,90.99486748561488,0,0,Canceled,2025-06-15
City Hotel,0,0,2016,January,4,20,1,4,2,0.0,0,SC,FRA,Direct,Direct,0,0,0,D,D,5,No Deposit,,,0,Transient,72.24922860875175,0,0,Check-Out,2025-08-08
City Hotel,0,18,2017,February,6,5,2,1,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,78.61458114682056,0,0,Check-Out,2025-01-13
City Hotel,1,216,2016,October,41,4,0,3,2,0.0,0,BB,NOR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,137.02424318015667,0,0,Canceled,2024-10-19
City Hotel,1,42,2016,September,40,28,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,27.0,,0,Transient,79.56254371565677,0,0,Canceled,2025-04-18
City Hotel,1,357,2016,November,45,4,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,1,1,0,A,A,0,No Deposit,9.0,,0,Group,83.61825095810508,0,0,Canceled,2024-12-10
City Hotel,1,34,2015,August,33,15,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,56.44433333119971,0,0,Canceled,2025-01-01
Resort Hotel,1,1,2017,June,26,27,0,1,2,1.0,0,BB,ARE,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,190.2923629024724,0,1,Canceled,2024-11-09
Resort Hotel,1,0,2017,June,26,28,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,F,F,0,No Deposit,,,0,Transient,103.72743528665028,0,2,Canceled,2025-05-07
Resort Hotel,0,61,2017,January,1,1,4,5,2,0.0,0,HB,FRA,Direct,Direct,0,0,0,F,F,1,No Deposit,250.0,,0,Transient,102.33384534921875,0,1,Check-Out,2024-09-25
City Hotel,0,127,2017,March,12,24,0,2,2,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,1,No Deposit,171.0,,0,Transient-Party,127.46213528280438,0,1,Check-Out,2025-04-28
City Hotel,0,25,2016,June,25,16,0,3,3,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,193.29154456165287,0,2,Check-Out,2025-03-11
City Hotel,0,22,2016,May,20,11,0,4,1,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,150.07327142889923,0,0,Check-Out,2024-09-24
City Hotel,0,86,2017,February,7,16,1,3,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,69.56536017093723,0,1,Check-Out,2024-12-24
City Hotel,1,472,2016,December,53,29,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,63.61992683294043,0,0,Canceled,2024-09-28
City Hotel,1,123,2017,February,8,25,0,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,30.0,,0,Transient-Party,90.84332511486714,0,0,Canceled,2025-06-06
City Hotel,0,0,2017,March,13,28,0,1,1,0.0,0,BB,USA,Online TA,TA/TO,1,0,0,G,G,1,No Deposit,9.0,,0,Transient,100.69976734990698,0,2,Check-Out,2024-10-04
Resort Hotel,0,111,2017,March,11,13,1,0,2,0.0,0,BB,CHN,Groups,TA/TO,0,0,0,E,E,0,No Deposit,66.0,,0,Transient-Party,39.415803450860246,0,0,Check-Out,2025-04-02
City Hotel,1,322,2017,April,17,27,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,104.74869951022086,0,1,Canceled,2025-01-31
City Hotel,0,38,2016,March,11,12,0,1,2,0.0,0,BB,HUN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,76.9335263516215,0,1,Check-Out,2025-02-17
Resort Hotel,1,14,2016,December,49,1,0,1,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,63.70210114302737,0,2,Canceled,2024-11-06
Resort Hotel,0,210,2017,June,23,7,2,7,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,175.0,,0,Transient,85.26869516293867,0,0,Check-Out,2025-06-27
Resort Hotel,1,201,2016,August,34,20,2,3,2,1.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,3.0,,0,Transient,146.67559326858054,0,2,Canceled,2025-07-08
Resort Hotel,0,209,2016,May,20,14,1,1,1,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,A,1,No Deposit,298.0,,0,Transient-Party,53.168901348226285,0,0,Check-Out,2025-04-09
Resort Hotel,0,22,2015,July,29,16,2,5,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,F,F,0,No Deposit,250.0,,0,Transient,160.7136295842348,0,0,Check-Out,2025-07-03
Resort Hotel,0,13,2016,September,39,19,1,1,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,108.12283128777696,1,1,Check-Out,2024-11-24
Resort Hotel,1,32,2017,March,10,5,2,1,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,59.34459662516295,0,0,Canceled,2025-09-06
City Hotel,1,71,2017,April,16,18,0,3,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,137.8676519440873,0,0,Canceled,2025-04-23
Resort Hotel,0,12,2016,March,10,4,0,1,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,49.87711768780075,0,0,Check-Out,2025-06-03
City Hotel,1,54,2016,September,36,3,2,2,2,0.0,0,BB,CN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,132.8683136105361,0,0,Canceled,2025-03-18
Resort Hotel,0,41,2016,April,18,30,1,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient-Party,89.51423260376535,1,1,Check-Out,2025-04-09
City Hotel,0,166,2017,July,28,12,2,4,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,42.0,,0,Transient,87.87585438446165,0,1,Check-Out,2025-04-14
Resort Hotel,0,137,2016,September,39,19,1,3,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,6.0,,0,Transient,68.02405924181146,0,0,Check-Out,2025-06-02
City Hotel,1,12,2017,July,31,30,1,0,2,0.0,0,SC,AGO,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,96.89525133415873,0,1,Canceled,2025-06-25
Resort Hotel,1,366,2016,October,41,8,2,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,68.0,,0,Transient,74.69738396081905,0,0,Canceled,2025-06-11
Resort Hotel,1,132,2015,November,47,19,1,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,29.492193809886054,0,2,Canceled,2024-12-26
City Hotel,1,600,2017,March,12,23,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,60.321979656319435,0,0,Canceled,2025-01-19
City Hotel,0,1,2017,February,6,9,0,1,1,0.0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,61.34781804961865,0,1,Check-Out,2024-12-24
City Hotel,0,55,2017,March,11,15,0,4,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,70.5539626389325,0,1,Check-Out,2025-02-13
Resort Hotel,1,241,2017,June,25,22,1,3,2,0.0,0,HB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,108.16457236784998,0,2,Canceled,2024-10-29
City Hotel,0,66,2016,March,14,31,0,3,3,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,9.0,,0,Transient-Party,102.77045528917635,0,1,Check-Out,2024-11-29
Resort Hotel,0,109,2017,May,20,14,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,171.0,,0,Transient,35.8127175453358,0,1,Check-Out,2024-12-03
City Hotel,1,48,2017,February,5,1,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29.0,,0,Transient,65.00526918508318,0,0,Canceled,2024-11-22
Resort Hotel,0,1,2015,August,32,5,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,,103.0,0,Transient,112.05715636816834,0,0,Check-Out,2025-04-17
Resort Hotel,0,5,2015,September,37,7,1,3,2,1.0,0,HB,PRT,Direct,Direct,0,0,0,A,C,1,No Deposit,250.0,,0,Transient,192.12187998788278,0,1,Check-Out,2024-12-24
Resort Hotel,1,13,2016,July,32,31,2,5,2,0.0,1,BB,DEU,Direct,Direct,0,0,0,C,C,1,No Deposit,250.0,,0,Transient,247.65560143520705,0,2,Canceled,2025-05-19
Resort Hotel,1,78,2016,November,46,8,4,11,2,0.0,0,HB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,70.4129457816814,0,1,Canceled,2024-11-09
City Hotel,0,274,2017,April,15,9,2,0,2,0.0,0,BB,DEU,Groups,TA/TO,0,0,0,A,A,0,No Deposit,58.0,,0,Transient-Party,78.63127200273433,0,1,Check-Out,2025-02-16
Resort Hotel,1,4,2016,October,43,22,2,2,2,0.0,0,BB,PRT,Groups,Corporate,0,0,0,F,F,0,No Deposit,,,0,Transient-Party,9.260868737843648,0,0,Canceled,2024-12-11
City Hotel,1,94,2016,March,12,18,0,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29.0,,20,Transient,81.7553212024374,0,0,Canceled,2025-05-04
Resort Hotel,0,100,2016,May,21,16,1,1,1,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,E,1,No Deposit,242.0,,0,Transient,70.79899554989363,0,1,Check-Out,2024-10-31
City Hotel,0,5,2017,July,27,3,1,0,1,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,148.2382789828377,0,0,Check-Out,2025-03-12
City Hotel,1,321,2015,September,38,19,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Transient-Party,57.4518957393127,0,0,Canceled,2025-04-19
City Hotel,0,11,2017,July,29,19,0,4,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,143.10088940059185,0,3,Check-Out,2024-10-12
City Hotel,0,54,2016,January,5,24,2,3,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,81.1049550730441,0,1,Check-Out,2024-10-23
Resort Hotel,0,174,2016,August,34,14,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,243.0,,0,Contract,125.45386713304208,0,0,Check-Out,2025-08-31
Resort Hotel,0,11,2016,February,9,21,2,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,54.0238055034833,1,1,Check-Out,2024-12-30
City Hotel,1,162,2015,August,35,29,1,1,2,1.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,6.0,,0,Transient,87.66408989184178,0,0,Canceled,2025-06-20
Resort Hotel,0,3,2016,January,4,18,1,0,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,1,No Deposit,,99.0,0,Transient,29.28074307519967,0,0,Check-Out,2025-02-15
City Hotel,0,117,2017,July,30,28,0,2,2,0.0,0,SC,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,168.0,,0,Transient,74.06586138314849,0,0,Check-Out,2025-07-20
City Hotel,0,37,2017,April,17,25,0,2,1,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,A,D,1,No Deposit,,280.0,0,Transient-Party,98.54377661535463,0,0,Check-Out,2024-10-27
Resort Hotel,0,1,2016,February,8,20,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,65.49941138668949,1,1,Check-Out,2025-05-05
City Hotel,0,132,2016,July,29,10,2,2,2,1.0,0,BB,DNK,Online TA,TA/TO,0,0,0,A,D,2,No Deposit,9.0,,0,Transient,122.9764232783569,0,2,Check-Out,2024-12-19
City Hotel,0,17,2016,March,11,9,0,1,1,0.0,0,BB,ESP,Corporate,TA/TO,0,0,0,D,A,1,No Deposit,,209.0,0,Transient-Party,77.15284902552679,0,0,Check-Out,2025-03-08
Resort Hotel,0,0,2015,August,35,24,1,1,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,112.95311058404825,0,0,Check-Out,2025-09-04
Resort Hotel,0,75,2016,May,19,1,3,5,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,8.0,,0,Transient,38.40967786922797,0,0,Check-Out,2025-05-27
Resort Hotel,0,82,2017,April,17,23,2,3,2,0.0,0,BB,IRL,Direct,Direct,1,0,1,F,F,0,No Deposit,250.0,,0,Transient,124.79423343560615,0,1,Check-Out,2024-11-10
City Hotel,0,60,2017,April,14,5,0,3,3,0.0,0,BB,LUX,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,159.0921470347823,0,0,Check-Out,2024-10-09
City Hotel,0,63,2016,October,44,28,0,1,1,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,1,A,D,1,No Deposit,21.0,,0,Transient-Party,66.63857272246702,0,0,Check-Out,2025-05-22
Resort Hotel,0,10,2016,May,21,15,1,0,2,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,A,A,0,Refundable,,,0,Transient-Party,76.74520012197841,0,0,Check-Out,2025-04-20
City Hotel,0,138,2017,February,8,25,0,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,30.0,,0,Transient-Party,72.88353332297977,0,0,Check-Out,2025-06-16
City Hotel,1,19,2016,December,53,30,0,2,2,1.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,142.53946900028026,0,0,Canceled,2025-06-30
City Hotel,1,40,2016,February,8,17,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44.0,,3,Transient,76.06530172394035,0,0,Canceled,2025-02-12
City Hotel,0,100,2017,June,25,19,1,1,2,0.0,0,SC,ISR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,114.31897898817651,0,1,Check-Out,2025-09-09
City Hotel,0,19,2016,September,38,15,0,2,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,A,0,No Deposit,7.0,,0,Transient,109.62697326453261,0,1,Check-Out,2024-12-06
City Hotel,0,0,2015,September,37,7,1,2,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,136.65016299505226,0,0,Check-Out,2024-09-27
City Hotel,1,18,2016,September,39,24,2,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,86.0,,0,Transient,112.41712736037175,0,0,Canceled,2024-11-08
Resort Hotel,0,20,2016,November,49,28,1,1,2,0.0,0,BB,POL,Groups,TA/TO,0,0,0,E,E,0,No Deposit,,,0,Transient-Party,50.01321500140946,0,0,Check-Out,2024-12-05
Resort Hotel,0,210,2016,October,41,6,2,3,1,0.0,0,BB,IRL,Groups,TA/TO,0,0,0,D,D,0,No Deposit,91.0,,0,Transient-Party,63.686618815433974,0,0,Check-Out,2024-10-10
Resort Hotel,0,234,2017,June,26,27,2,9,2,0.0,0,HB,POL,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,240.0,,0,Transient-Party,186.3064619895345,1,3,Check-Out,2025-04-29
City Hotel,0,60,2016,May,23,30,1,1,1,0.0,0,BB,CHE,Groups,TA/TO,0,0,0,A,D,1,No Deposit,,,0,Transient-Party,118.62488737825296,0,0,Check-Out,2025-05-14
Resort Hotel,1,243,2015,September,39,25,0,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,248.0,,0,Transient,87.6650645692812,0,0,Canceled,2024-12-22
City Hotel,0,0,2015,August,34,19,4,9,2,0.0,0,SC,AGO,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Contract,91.60360054800132,0,1,Check-Out,2025-01-14
Resort Hotel,0,0,2017,July,30,27,0,1,2,0.0,0,BB,SWE,Online TA,TA/TO,1,0,0,A,A,1,No Deposit,241.0,,0,Transient,140.12331742268768,0,1,Check-Out,2025-06-25
Resort Hotel,0,65,2016,May,22,22,2,2,2,0.0,0,BB,GBR,Offline TA/TO,Direct,0,0,0,A,A,0,No Deposit,115.0,,0,Transient,47.80540630998358,0,0,Check-Out,2025-09-06
City Hotel,1,422,2016,July,31,27,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,71.33935313708298,0,0,Canceled,2024-11-03
City Hotel,0,24,2017,June,24,12,1,3,1,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,134.6946916626547,0,1,Check-Out,2025-03-06
Resort Hotel,1,126,2017,March,10,9,0,3,2,0.0,0,Undefined,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,67.0,,60,Transient,51.167108201237546,0,0,Canceled,2024-10-30
City Hotel,0,39,2017,April,16,20,1,3,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,80.44571733679899,0,0,Check-Out,2025-08-15
City Hotel,1,96,2016,August,36,29,1,1,2,0.0,0,SC,AUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.30078688852498,0,0,Canceled,2024-12-21
City Hotel,1,100,2015,December,49,3,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,55.0,,0,Transient,74.15438422394506,0,0,Canceled,2024-12-14
City Hotel,0,28,2016,February,7,12,1,2,2,0.0,0,BB,TUN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,58.196946422830315,0,1,Check-Out,2025-06-21
Resort Hotel,0,52,2015,July,30,23,2,6,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,165.566098580328,1,0,Check-Out,2025-06-09
Resort Hotel,0,137,2017,July,28,14,2,5,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,196.0,,0,Transient,193.77371186106376,1,0,Check-Out,2025-04-22
Resort Hotel,1,250,2015,September,39,20,2,4,2,0.0,0,BB,PRT,Direct,Direct,0,1,0,A,A,0,No Deposit,,,0,Transient,71.58942263152976,0,0,Canceled,2024-11-14
City Hotel,1,291,2016,December,52,24,2,6,2,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,167.29163081552477,0,0,Canceled,2024-10-24
City Hotel,1,15,2016,February,6,5,2,6,2,0.0,0,SC,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,63.271723723732144,0,0,Canceled,2024-11-20
City Hotel,1,36,2016,December,53,27,2,5,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,67.92076454393724,0,0,Canceled,2024-11-14
City Hotel,0,42,2016,April,17,23,2,1,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,A,0,No Deposit,9.0,,0,Transient,105.74587402076611,0,0,Check-Out,2025-07-21
Resort Hotel,0,4,2017,June,25,24,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,H,0,No Deposit,240.0,,0,Transient,134.2136345552893,0,1,Check-Out,2024-12-16
City Hotel,0,82,2017,May,19,11,0,3,3,0.0,0,HB,ITA,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient-Party,172.08745806768871,0,1,Check-Out,2025-01-10
City Hotel,0,2,2015,August,33,11,0,1,2,2.0,0,SC,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,159.19553302975564,0,0,Check-Out,2025-01-01
City Hotel,1,173,2015,August,33,14,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,62.78724743749213,0,0,Canceled,2024-12-24
City Hotel,0,358,2017,July,28,13,0,2,1,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,A,1,No Deposit,6.0,,0,Transient-Party,90.86144835656867,0,0,Check-Out,2025-03-07
Resort Hotel,0,5,2017,February,7,12,1,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,240.0,,0,Transient,46.141642355292646,0,2,Check-Out,2024-10-03
City Hotel,1,396,2016,September,38,16,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,379,Transient-Party,53.455781553838406,0,0,Canceled,2025-02-09
